head_entity_text,tail_entity_text,predicted_label,true_label
crock pot,hams,"Content-Container (e2, e1)","Content-Container (e2, e1)"
paper,discovery,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
lane,road,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
rouleau,cells,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
mobile phone,toilet,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
husband,leg,Other,"Instrument-Agency (e2, e1)"
search,scales,Other,Other
book,writer,Other,Other
handgrip,micrometer,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
creations,chef,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
cylinder,engine,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
squirrel,group,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
shoe,laces,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
land,river,"Entity-Origin (e1, e2)",Other
movement,moles,Other,"Member-Collection (e2, e1)"
basis,population,Other,Other
aunt,health,Other,Other
hand,gestures,Other,Other
plane crash,novel,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
system,modules,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
fear,stab,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
reforms,changes,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
commentator,obscenity,Other,"Product-Producer (e2, e1)"
spindle,areometer,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
chapel,manor house,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
oven,plug,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
bag,secure locker,"Content-Container (e1, e2)","Content-Container (e1, e2)"
porch,queen,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
topic,discussion,"Message-Topic (e1, e2)",Other
lychee,note,Other,Other
answer,riddle,"Message-Topic (e1, e2)","Entity-Origin (e1, e2)"
scum,stripes,"Component-Whole (e1, e2)",Other
dance,company,"Member-Collection (e1, e2)",Other
brotherhood,kings,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
prisoner,detention,"Entity-Origin (e2, e1)","Entity-Origin (e1, e2)"
grasshoppers,burrow,"Entity-Destination (e1, e2)","Product-Producer (e2, e1)"
suffering,embargo,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
medallion,pouch,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
needles,packs,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
sculpture,craftsmen,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
attacker,instrument,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
Plants,rooms,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
company,version,"Product-Producer (e1, e2)",Other
students,drawing,Other,"Product-Producer (e2, e1)"
offers,catalog,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
heart,casket,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
body,bin,"Content-Container (e1, e2)","Content-Container (e1, e2)"
export,company,Other,Other
hyperlink,field,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
aid,areas,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
criminal,jail,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
arm,government,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
nuclear energy,pollution,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
windshield,cockpit,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
anger,abuse,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
paper,desk drawer,"Content-Container (e1, e2)","Content-Container (e1, e2)"
entrance,east,"Entity-Origin (e1, e2)",Other
debt,stress,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
hall,arrangement,"Component-Whole (e2, e1)",Other
terrorists,jail,"Entity-Origin (e2, e1)","Entity-Origin (e1, e2)"
advertising,selections,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
leaflet,qualities,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
soldiers,camp,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
haul,fish,Other,Other
quilts,cousin,Other,"Product-Producer (e1, e2)"
chivalry,warrior-knights,Other,Other
comment,mayor,"Message-Topic (e1, e2)","Product-Producer (e1, e2)"
strike,death,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
rig,drilling,"Instrument-Agency (e1, e2)",Other
album,singer,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
fear,power,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
money,safe,"Content-Container (e1, e2)","Content-Container (e1, e2)"
Students,crops,"Entity-Destination (e1, e2)",Other
jam,trucks,Other,"Member-Collection (e2, e1)"
Tides,gravitational pull,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
streaks,particles,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
Changes,sub-committee,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
Animations,version,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
reflux,mouth,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
dust,alarm,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
photoreceptors,retina,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
bacteria,sickness,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
types,sections,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
gun,box,"Content-Container (e1, e2)","Content-Container (e1, e2)"
pain,indigestion,"Cause-Effect (e1, e2)","Cause-Effect (e2, e1)"
word,noun,"Entity-Origin (e2, e1)","Entity-Origin (e1, e2)"
remote,desk,"Content-Container (e1, e2)","Content-Container (e1, e2)"
cells,tissues,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
drove,hogs,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
Borrowers,troubles,"Entity-Destination (e1, e2)",Other
joy,eating,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
men,store,"Entity-Destination (e1, e2)",Other
farmer,tractor,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
Stroke,death,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
praise,classics,"Message-Topic (e1, e2)",Other
newsletter,happenings,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
management,firm,"Component-Whole (e1, e2)",Other
machine,dictators,"Message-Topic (e1, e2)",Other
plant,storage unit,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
poppy,codeine,"Entity-Origin (e2, e1)","Entity-Origin (e2, e1)"
defendant,affidavit,Other,"Product-Producer (e2, e1)"
flicker,candles,"Component-Whole (e1, e2)","Cause-Effect (e2, e1)"
pain,torment,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
director,company,Other,Other
discomfort,braces,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
playwright,directions,"Product-Producer (e1, e2)","Instrument-Agency (e2, e1)"
community,positions,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
flour,sacks,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
locomotive,train,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
body,suitcase,"Content-Container (e1, e2)","Content-Container (e1, e2)"
boy,cradle,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
factory,glass,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
ear,canal,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
work,galleries,"Entity-Destination (e1, e2)",Other
property,developer,Other,"Product-Producer (e1, e2)"
distraction,incident,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
light,friend,Other,"Cause-Effect (e2, e1)"
entrapments,suffocation,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
glut,parrs,"Entity-Destination (e1, e2)",Other
crush,fans,Other,"Member-Collection (e2, e1)"
members,gangs,"Member-Collection (e1, e2)","Member-Collection (e1, e2)"
signal,sine,Other,Other
pie,factory,Other,"Product-Producer (e1, e2)"
Storms,losses,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
app,newspaper,"Product-Producer (e1, e2)","Entity-Origin (e1, e2)"
laws,war,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
drivers,toothpick,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
cross,site,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
assembly,cover,Other,"Component-Whole (e1, e2)"
plantation,beans,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
seat,cockpit,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
line,aisle,"Entity-Destination (e1, e2)",Other
lighting,works,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
medicine,food,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
Discussion,function,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
bottle,carton box,"Content-Container (e1, e2)","Content-Container (e1, e2)"
fish,oil,Other,"Entity-Origin (e2, e1)"
fume,irritation,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
flame,pyre,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
treadmill,space station,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
ghostwriters,books,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
geometry,string,Other,Other
pistil,carpels,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
girl,boy,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
document,facts,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
document,levels,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
concern,economy,"Message-Topic (e1, e2)",Other
artist,can,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
guy,map,"Content-Container (e2, e1)","Instrument-Agency (e2, e1)"
seniors,leadership positions,"Entity-Destination (e1, e2)",Other
answer,trend,Other,"Entity-Origin (e1, e2)"
volery,birds,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
areas,composition,Other,Other
kindle,rabbits,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
investigation,allegations,"Message-Topic (e1, e2)",Other
nose,man,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
shuttles,space,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
valuables,safe,"Content-Container (e1, e2)","Content-Container (e1, e2)"
Cadre,groups,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
audience,kids,Other,"Member-Collection (e2, e1)"
programme,happiness,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
memo,lineup,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
study,mechanisms,"Message-Topic (e1, e2)",Other
children,competition,"Entity-Destination (e1, e2)",Other
congress,provinces,Other,"Member-Collection (e2, e1)"
sword,blade,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
range,diagram,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
dashboard,speedometer,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
text,encyclopedia,"Content-Container (e1, e2)","Entity-Origin (e1, e2)"
information,employees,Other,"Message-Topic (e1, e2)"
forum,eighteenth century,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
brotherhood,bruisers,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
devastation,waves,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
Noise regulations,force,"Entity-Destination (e1, e2)",Other
design,architects,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
oil,runoff,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
design,student,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
Cancer,illness,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
drama,aftermath,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
server,cabinet,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
Jeans,topstitching,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
legion,infantrymen,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
company,fireman,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
fire,collision,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
joy,animals,Other,"Cause-Effect (e2, e1)"
essay,literature,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
mainmast,bark,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
interview,next show,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
skills,surgery,"Component-Whole (e1, e2)",Other
satisfaction,watching,Other,"Cause-Effect (e2, e1)"
dryer,wall,Other,"Component-Whole (e2, e1)"
immigrant,port,"Entity-Destination (e1, e2)",Other
page,terms,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
taxes,years,"Entity-Origin (e2, e1)","Entity-Origin (e1, e2)"
bottle,water,"Content-Container (e1, e2)","Content-Container (e2, e1)"
list,records,Other,"Entity-Origin (e1, e2)"
girl,danger,"Entity-Destination (e1, e2)",Other
handles,hand brake,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
drug,brain,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
phone,prototype stage,"Entity-Destination (e1, e2)",Other
files,folder,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
gas centrifuge,camp,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
pollution,shipwreck,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
nose,surfboard,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
Inhalation,irritation,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
corridors,hospital,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
seminar,system,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
film,fare,"Entity-Origin (e1, e2)",Other
hailstorm,bullets,Other,"Member-Collection (e2, e1)"
symposium,physicians,Other,Other
regulation,access,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
ingredients,mixing ball,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
methane,wells,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
prostate,glands,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
pollution,smog,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
students,texts,Other,"Instrument-Agency (e2, e1)"
heroes,literature,Other,"Entity-Origin (e1, e2)"
suitcase,cannabis,"Content-Container (e1, e2)","Content-Container (e2, e1)"
batter,balls,Other,"Instrument-Agency (e2, e1)"
bed,oysters,"Component-Whole (e1, e2)","Member-Collection (e2, e1)"
topics,categories,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
ice,shore,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
noise,powertrain,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
factory,blouses,"Product-Producer (e1, e2)","Product-Producer (e2, e1)"
Lymphoeytes,lymphatics,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
kitchen,meal,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
files,bust,"Message-Topic (e1, e2)",Other
body,phrase,"Component-Whole (e1, e2)",Other
diamond,necklace,"Component-Whole (e1, e2)",Other
pandemic,infection,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
player,orchestra,"Member-Collection (e1, e2)","Member-Collection (e1, e2)"
paper,review,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
journal,history,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
Heating,wood,"Instrument-Agency (e1, e2)",Other
evidence,results,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
data,tables,"Entity-Destination (e1, e2)","Content-Container (e1, e2)"
Wind,weathering,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
syndicate,investors,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
motifs,ewer,Other,"Component-Whole (e1, e2)"
display,status,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
bacteria,acne,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
chapter,attempts,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
character,producers,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
benchmarking,sources,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
hunter,cave,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
barrels,coopers,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
buzzard,claws,"Instrument-Agency (e2, e1)","Component-Whole (e2, e1)"
car,clutch,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
strings,guitar,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
fistful,expectations,Other,Other
cache,goods,"Content-Container (e1, e2)","Member-Collection (e2, e1)"
hardwire,brain,"Component-Whole (e1, e2)","Entity-Destination (e1, e2)"
machineguns,box,"Content-Container (e1, e2)","Content-Container (e1, e2)"
fairy tale,giant,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
shops,clocks,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
table,data,"Content-Container (e1, e2)","Message-Topic (e1, e2)"
roof,building,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
law,registration,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
cheek,bone,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
bar,steel,"Component-Whole (e1, e2)",Other
manor,smallholdings,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
index,package,"Product-Producer (e2, e1)",Other
fear,darkness,Other,"Cause-Effect (e2, e1)"
tract,liturgical practices,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
camp,outsiders,Other,"Member-Collection (e2, e1)"
man,thumb,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
data,warehouse,"Entity-Destination (e1, e2)","Content-Container (e1, e2)"
ghost-ship,fleet,"Component-Whole (e1, e2)","Member-Collection (e1, e2)"
growth,area,"Entity-Origin (e1, e2)",Other
name,goddess,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
electronic equipment,cabinet,"Content-Container (e1, e2)","Content-Container (e1, e2)"
tsunami,earthquake,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
debate,public execution,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
switch,light,"Instrument-Agency (e1, e2)","Component-Whole (e1, e2)"
tape recorder,cabinet,"Content-Container (e1, e2)","Content-Container (e1, e2)"
comedy format,sequences,"Message-Topic (e1, e2)",Other
pizza,trash bag,"Content-Container (e1, e2)","Content-Container (e1, e2)"
player,orchestra,"Member-Collection (e1, e2)","Member-Collection (e1, e2)"
worker,plank,Other,Other
electrodes,brain,"Component-Whole (e1, e2)","Entity-Destination (e1, e2)"
Mail,city,"Entity-Origin (e2, e1)","Entity-Origin (e1, e2)"
painter,self-portrait,"Product-Producer (e1, e2)","Product-Producer (e2, e1)"
grove,redwoods,"Component-Whole (e1, e2)","Member-Collection (e2, e1)"
hinge,book,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
dowel,groove,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
grain,drink,"Product-Producer (e1, e2)","Entity-Origin (e2, e1)"
agreements,diversion,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
atmospheric chemistry,acid rain,"Message-Topic (e1, e2)",Other
suitcase,books,"Content-Container (e2, e1)","Content-Container (e2, e1)"
ulcer,stress,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
mother,land,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
studies,inquiry,"Message-Topic (e1, e2)","Entity-Destination (e1, e2)"
notes,telephone call,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
baboons,parties,"Member-Collection (e1, e2)","Member-Collection (e1, e2)"
clutch,mechanics,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
committee,vultures,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
money,chest,"Content-Container (e1, e2)","Content-Container (e1, e2)"
northeast,contention,"Entity-Origin (e1, e2)",Other
bees,honey,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
couple,accounts,"Entity-Destination (e1, e2)",Other
recipe,safe,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
Recessions,excess demand,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
contractors,entrance,"Instrument-Agency (e2, e1)",Other
guy,story,Other,"Product-Producer (e2, e1)"
Technicians,stage,"Instrument-Agency (e1, e2)","Product-Producer (e2, e1)"
boom,fitting,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
Questions,aspects,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
tongue,canteen,"Content-Container (e1, e2)",Other
male,pit,Other,"Product-Producer (e2, e1)"
milk,pail,"Content-Container (e1, e2)","Content-Container (e1, e2)"
audience,readers,Other,"Member-Collection (e2, e1)"
slot,music player,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
recession,collapse,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
punks,objects,Other,"Instrument-Agency (e2, e1)"
character,literature,Other,"Entity-Origin (e1, e2)"
bourbon,barrel,"Content-Container (e1, e2)","Entity-Origin (e1, e2)"
heads,ferrets,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
Lesions,leg weakness,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
researcher,categories,Other,"Instrument-Agency (e2, e1)"
money,bag,"Content-Container (e1, e2)","Content-Container (e1, e2)"
suffering,bomb,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
death,cancellation,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
muster,peacocks,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
child,outlet,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
powder,canteen cup,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
rapper,song,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
problems,policy,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
arm,cross,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
moisture,stack,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
bacteria,pneumonia,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
show,slot,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
seniors,data,"Entity-Destination (e1, e2)","Instrument-Agency (e2, e1)"
plague,insects,Other,"Member-Collection (e2, e1)"
incoming water,stain,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
side,station,"Entity-Destination (e1, e2)",Other
bleeding,injury,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
team,territory,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
photos,friend,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
flour,bowl,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
specimens,jar,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
companionship,teammates,Other,Other
water,lakes,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
insulin,pancreas,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
insulin,pancreases,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
child,basket,"Content-Container (e1, e2)",Other
caterpillars,disease,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
glass-blower,vase,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
hole,missile,"Cause-Effect (e2, e1)","Product-Producer (e1, e2)"
proposals,speech,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
films,filmmakers,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
vaccine,maker,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
cassette tape,box,"Content-Container (e1, e2)","Content-Container (e1, e2)"
crack,humidor,"Component-Whole (e1, e2)",Other
complexity,mix,Other,"Entity-Destination (e1, e2)"
family,child,"Member-Collection (e2, e1)","Member-Collection (e2, e1)"
effect,light,Other,"Cause-Effect (e2, e1)"
perturbations,moon,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
editor,interface,Other,"Component-Whole (e2, e1)"
ice cream,cup,"Content-Container (e1, e2)","Content-Container (e1, e2)"
computer,screen,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
Diatoms,skeleton,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
medal,box,"Content-Container (e1, e2)","Content-Container (e1, e2)"
crisis,jobless rate,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
staff,tools,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
workers,port,"Product-Producer (e1, e2)","Product-Producer (e2, e1)"
maid,balcony,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
binder,trials,"Entity-Destination (e1, e2)",Other
activities,development,"Entity-Destination (e1, e2)",Other
orange,juice,"Component-Whole (e1, e2)","Entity-Origin (e2, e1)"
books,transformation,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
story,boy,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
server,identifier,"Instrument-Agency (e1, e2)","Instrument-Agency (e2, e1)"
concrete,piers,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
soldiers,battles,"Entity-Destination (e1, e2)",Other
mast,ship,"Component-Whole (e1, e2)","Entity-Destination (e1, e2)"
human,box,"Entity-Destination (e1, e2)",Other
pride,lions,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
bevy,deer,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
theory,journalists,"Message-Topic (e1, e2)","Product-Producer (e1, e2)"
wolfpack,submarines,"Member-Collection (e2, e1)","Member-Collection (e2, e1)"
quote,email,"Content-Container (e1, e2)","Entity-Origin (e1, e2)"
array,responder,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
person,employee,Other,Other
cat,paw,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
bench,aldermen,"Component-Whole (e1, e2)","Member-Collection (e2, e1)"
biographer,minutiae,Other,"Instrument-Agency (e2, e1)"
chains,bags,Other,"Entity-Origin (e2, e1)"
gun,safe,"Content-Container (e1, e2)","Content-Container (e1, e2)"
helve,hammer,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
nails,hand,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
porch,stoics,"Component-Whole (e1, e2)",Other
grain,ale,Other,"Entity-Origin (e2, e1)"
profiles,teachers,"Instrument-Agency (e2, e1)","Instrument-Agency (e1, e2)"
corruption,utilities,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
launcher,system,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
essays,book,"Component-Whole (e1, e2)","Member-Collection (e1, e2)"
water,well,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
pig,crate,"Content-Container (e1, e2)","Content-Container (e1, e2)"
number,mathematicians,Other,"Member-Collection (e2, e1)"
world,animation,"Component-Whole (e1, e2)",Other
battalion,cavalry,"Member-Collection (e1, e2)","Component-Whole (e1, e2)"
pin,wheel,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
ombudsman,report,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
body,elders,"Component-Whole (e1, e2)","Member-Collection (e2, e1)"
therapist,way,Other,"Instrument-Agency (e2, e1)"
crush,applications,Other,"Member-Collection (e2, e1)"
baby,home,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
evening,courage,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
species,areas,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
Twisters,creations,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
creatures,scare,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
