sentence,relation,label,entity1,entity2,sentence_without_tags,split
The <e1>decade</e1> produced a bumper <e2>crop</e2> of great movies.,Other,18,decade,crop,The decade produced a bumper crop of great movies.,train
The surprise <e1>visit</e1> caused a <e2>frenzy</e2> on the already chaotic trading floor.,"Cause-Effect (e1, e2)",0,visit,frenzy,The surprise visit caused a frenzy on the already chaotic trading floor.,train
"A <e1>trend</e1> has been caused by the growing absolute numbers of young people on the planet, and by the <e2>rising unemployment rate</e2>.","Cause-Effect (e2, e1)",1,trend,rising unemployment rate,"A trend has been caused by the growing absolute numbers of young people on the planet, and by the rising unemployment rate.",train
"Paul Friedrich guides us through a <e1>babel</e1> of <e2>words</e2>, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child.",Other,18,babel,words,"Paul Friedrich guides us through a babel of words, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child.",train
"This <e1>smile</e1>, a true reflection of God's tenderness, is the source of an invincible <e2>hope</e2>.","Cause-Effect (e1, e2)",0,smile,hope,"This smile, a true reflection of God's tenderness, is the source of an invincible hope.",train
"Next we stopped by a pine table where an arrangement of cobalt blue ""knitted"" <e1>bowls</e1> by a South African <e2>ceramicist</e2> complemented a neat stack of chic indigo denim trousers by London's Made in Heaven.","Product-Producer (e1, e2)",16,bowls,ceramicist,"Next we stopped by a pine table where an arrangement of cobalt blue ""knitted"" bowls by a South African ceramicist complemented a neat stack of chic indigo denim trousers by London's Made in Heaven.",train
"One <e1>faction</e1> of netherwing <e2>dragons</e2>, named the Netherwing, were attacked by the Dragonmaw orcs of Shadowmoon Valley and many were enslaved by Zuluhed, including the female Karynaku (mate of Neltharaku) who was leader of the brood.","Member-Collection (e2, e1)",13,faction,dragons,"One faction of netherwing dragons, named the Netherwing, were attacked by the Dragonmaw orcs of Shadowmoon Valley and many were enslaved by Zuluhed, including the female Karynaku (mate of Neltharaku) who was leader of the brood.",train
"When it was ready, my <e1>coffee</e1> arrived in a <e2>mug</e2> instead of to go as I had ordered it.","Content-Container (e1, e2)",4,coffee,mug,"When it was ready, my coffee arrived in a mug instead of to go as I had ordered it.",train
The <e1>show</e1> tackled many serious <e2>issues</e2>.,"Message-Topic (e1, e2)",14,show,issues,The show tackled many serious issues.,train
"Last night, someone threw a <e1>stone</e1> into our glass <e2>window</e2>.","Entity-Destination (e1, e2)",6,stone,window,"Last night, someone threw a stone into our glass window.",train
Each <e1>bid</e1> was enclosed in a sealed <e2>envelope</e2> bearing the title of the Project.,"Entity-Destination (e1, e2)",6,bid,envelope,Each bid was enclosed in a sealed envelope bearing the title of the Project.,train
Those <e1>canvases</e1> by Mark Rothko with luminous <e2>colors</e2> floating in space make me swoon.,"Component-Whole (e2, e1)",3,canvases,colors,Those canvases by Mark Rothko with luminous colors floating in space make me swoon.,train
<e1>Results</e1> from this testing were presented in a previous technical progress <e2>report</e2> for this project.,"Message-Topic (e2, e1)",15,Results,report,Results from this testing were presented in a previous technical progress report for this project.,train
This activity spreads <e1>disease</e1> to our <e2>dogs</e2>.,"Entity-Destination (e1, e2)",6,disease,dogs,This activity spreads disease to our dogs.,train
I have imported an audio <e1>book</e1> into the <e2>software</e2>.,"Entity-Destination (e1, e2)",6,book,software,I have imported an audio book into the software.,train
"Though Calder had gone to Paris to paint, he began creating figures and animals from wire and wood, gradually building up an entire <e1>circus</e1> of trapeze <e2>artists</e2>, clowns and trained animals.","Member-Collection (e2, e1)",13,circus,artists,"Though Calder had gone to Paris to paint, he began creating figures and animals from wire and wood, gradually building up an entire circus of trapeze artists, clowns and trained animals.",train
"The staff stood guard all night, drinking the <e1>coffee</e1> <e2>machine</e2> dry and plotting their revenge on the injustices of the workplace.","Product-Producer (e1, e2)",16,coffee,machine,"The staff stood guard all night, drinking the coffee machine dry and plotting their revenge on the injustices of the workplace.",train
The <e1>diener</e1> takes a large <e2>scalpel</e2> and makes the incision in the trunk.,"Instrument-Agency (e2, e1)",11,diener,scalpel,The diener takes a large scalpel and makes the incision in the trunk.,train
"The common <e1>cold</e1> and the flu are caused by different <e2>viruses</e2>, with symptoms of the flu presenting more quickly and with more severity than those of a cold.","Cause-Effect (e2, e1)",1,cold,viruses,"The common cold and the flu are caused by different viruses, with symptoms of the flu presenting more quickly and with more severity than those of a cold.",train
"<e1>Scientists</e1> have assembled the first global geological <e2>map</e2> of the Solar System's largest moon - and in doing so have gathered new evidence into the formation of the large, icy satellite.","Product-Producer (e2, e1)",17,Scientists,map,"Scientists have assembled the first global geological map of the Solar System's largest moon - and in doing so have gathered new evidence into the formation of the large, icy satellite.",train
"Like other spiders, the <e1>tarantula</e1> makes a silken <e2>web</e2>, but not for snaring prey.","Product-Producer (e2, e1)",17,tarantula,web,"Like other spiders, the tarantula makes a silken web, but not for snaring prey.",train
Recruiting talented computer <e1>scientists</e1> from underrepresented <e2>communities</e2> is important to current and future workforce needs of the Computation Directorate as well as the Laboratory as a whole.,"Entity-Origin (e1, e2)",8,scientists,communities,Recruiting talented computer scientists from underrepresented communities is important to current and future workforce needs of the Computation Directorate as well as the Laboratory as a whole.,train
"First of all, it is a source of specialist <e1>cadre</e1> of various <e2>specialties</e2>, such as monument and art renovation, foreign language teachers, economists, chemists, lawyers and IT specialists, just to name a few, who often stay in the city after graduating.",Other,18,cadre,specialties,"First of all, it is a source of specialist cadre of various specialties, such as monument and art renovation, foreign language teachers, economists, chemists, lawyers and IT specialists, just to name a few, who often stay in the city after graduating.",train
"Hedgehogs annoy only their political opposition, while foxes annoy across the political spectrum, in part because the smartest foxes cherry-pick idea fragments from the whole <e1>array</e1> of <e2>hedgehogs</e2>.","Member-Collection (e2, e1)",13,array,hedgehogs,"Hedgehogs annoy only their political opposition, while foxes annoy across the political spectrum, in part because the smartest foxes cherry-pick idea fragments from the whole array of hedgehogs.",train
He noticed that this black substance was also on the <e1>lid</e1> of the cracked stone <e2>casing</e2>.,"Component-Whole (e1, e2)",2,lid,casing,He noticed that this black substance was also on the lid of the cracked stone casing.,train
"These changes can be caused by the tumor itself, by <e1>increased pressure</e1> within the skull caused by the presence of the <e2>tumor</e2>.","Cause-Effect (e2, e1)",1,increased pressure,tumor,"These changes can be caused by the tumor itself, by increased pressure within the skull caused by the presence of the tumor.",train
The <e1>quotation</e1> is from the <e2>preface</e2> to the fourth edition.,"Entity-Origin (e1, e2)",8,quotation,preface,The quotation is from the preface to the fourth edition.,train
"In this beautiful re-imagining, the <e1>story</e1> starts in an <e2>orphanage</e2> and moves to a magical land where the sweets have a sexual subtext.","Entity-Origin (e1, e2)",8,story,orphanage,"In this beautiful re-imagining, the story starts in an orphanage and moves to a magical land where the sweets have a sexual subtext.",train
But nothing prepared her for the day when a <e1>surfeit</e1> of 10 baby <e2>skunks</e2> popped their heads out of the hole and began scurrying about with their mommy.,"Member-Collection (e2, e1)",13,surfeit,skunks,But nothing prepared her for the day when a surfeit of 10 baby skunks popped their heads out of the hole and began scurrying about with their mommy.,train
A <e1>loop</e1> emiting short flashes of <e2>light</e2> is projected onto volunteer members of the audience.,"Cause-Effect (e1, e2)",0,loop,light,A loop emiting short flashes of light is projected onto volunteer members of the audience.,train
It is easier to push the blade through the soil and is easier on the <e1>gardener</e1>'s <e2>footwear</e2>.,"Instrument-Agency (e2, e1)",11,gardener,footwear,It is easier to push the blade through the soil and is easier on the gardener's footwear.,train
"I derive tremendous pleasure and <e1>fulfillment</e1> from <e2>teaching</e2>, particularly when I am able to help students understand a previously foreign concept or idea, aid them in seeing a familiar object or event from a new and unusual perspective, guide them with projects they are working on, or encourage the interests they have.","Cause-Effect (e2, e1)",1,fulfillment,teaching,"I derive tremendous pleasure and fulfillment from teaching, particularly when I am able to help students understand a previously foreign concept or idea, aid them in seeing a familiar object or event from a new and unusual perspective, guide them with projects they are working on, or encourage the interests they have.",train
Raj driven to <e1>rage</e1> after <e2>reading</e2> about yet another weirdly spelled Web 2.0 company is struggling on TechCrunch.,"Cause-Effect (e2, e1)",1,rage,reading,Raj driven to rage after reading about yet another weirdly spelled Web 2.0 company is struggling on TechCrunch.,train
"The <e1>land</e1> was farmed for <e2>cattle</e2>, but segments of the forests were sold off and the chapel fell into disrepair.","Entity-Origin (e2, e1)",9,land,cattle,"The land was farmed for cattle, but segments of the forests were sold off and the chapel fell into disrepair.",train
The <e1>firm</e1> assembled a project <e2>team</e2> consisting of the authors of this paper to develop its OnStar telematics business.,Other,18,firm,team,The firm assembled a project team consisting of the authors of this paper to develop its OnStar telematics business.,train
<e1>Pilgrimage</e1> to Mecca is a basic <e2>tenet</e2> of Islam.,Other,18,Pilgrimage,tenet,Pilgrimage to Mecca is a basic tenet of Islam.,train
"Pharmacognosy is the study of crude <e1>drugs</e1> obtained from <e2>plants</e2>, animals and mineral kingdom.","Entity-Origin (e1, e2)",8,drugs,plants,"Pharmacognosy is the study of crude drugs obtained from plants, animals and mineral kingdom.",train
The <e1>missis</e1> won the lottery with a <e2>ticket</e2> she didn't tell you about.,"Instrument-Agency (e2, e1)",11,missis,ticket,The missis won the lottery with a ticket she didn't tell you about.,train
Of course the proble is Christmas just passed so I've got a brand new <e1>pile</e1> of unread <e2>books</e2> to contend with.,"Member-Collection (e2, e1)",13,pile,books,Of course the proble is Christmas just passed so I've got a brand new pile of unread books to contend with.,train
"The <e1>mummy</e1>, ensconced in material, was inside a <e2>box</e2> bearing the words ""Sacred to the memory of our little Hawaiian home across the sea.""","Content-Container (e1, e2)",4,mummy,box,"The mummy, ensconced in material, was inside a box bearing the words ""Sacred to the memory of our little Hawaiian home across the sea.""",train
The Nhibitor <e1>protein</e1> is transported into the <e2>mitochondria</e2>.,"Entity-Destination (e1, e2)",6,protein,mitochondria,The Nhibitor protein is transported into the mitochondria.,train
Barber's Olympic bobsleigh <e1>plans</e1> go into <e2>meltdown</e2>.,Other,18,plans,meltdown,Barber's Olympic bobsleigh plans go into meltdown.,train
It is a live audio/visual performance composed of animated monochrome geometrical shapes matching the real size and form of the quadrilateral alluminium modules which form the <e1>facade</e1> of the <e2>building</e2>.,"Component-Whole (e1, e2)",2,facade,building,It is a live audio/visual performance composed of animated monochrome geometrical shapes matching the real size and form of the quadrilateral alluminium modules which form the facade of the building.,train
Many investors' funds are pooled together and the fund managers invest all the <e1>money</e1> in a diversified <e2>basket</e2> of investments.,"Entity-Destination (e1, e2)",6,money,basket,Many investors' funds are pooled together and the fund managers invest all the money in a diversified basket of investments.,train
On Saturday in California a <e1>suitcase</e1> was discovered inside a trash <e2>receptacle</e2> with a corpse stuffed inside of it.,"Content-Container (e1, e2)",4,suitcase,receptacle,On Saturday in California a suitcase was discovered inside a trash receptacle with a corpse stuffed inside of it.,train
"The <e1>activities</e1> are divided into three <e2>programmes</e2>: The Children and Youth Programme, the Adult Programme and the Senior Citizens Programme.","Component-Whole (e1, e2)",2,activities,programmes,"The activities are divided into three programmes: The Children and Youth Programme, the Adult Programme and the Senior Citizens Programme.",train
"Unlike earlier machines, their <e1>typewriter</e1> permits the <e2>typist</e2> to see what is being typed and has other features that make it the first really practical typing machine.","Instrument-Agency (e1, e2)",10,typewriter,typist,"Unlike earlier machines, their typewriter permits the typist to see what is being typed and has other features that make it the first really practical typing machine.",train
Kevin Kim is surprised by the arrival of an ancient Korean <e1>archer</e1> from the 1st <e2>century</e2>.,"Entity-Origin (e1, e2)",8,archer,century,Kevin Kim is surprised by the arrival of an ancient Korean archer from the 1st century.,train
A good off road <e1>vehicle</e1> is the best tool for a <e2>photographer</e2> with a sense of adventure.,"Instrument-Agency (e1, e2)",10,vehicle,photographer,A good off road vehicle is the best tool for a photographer with a sense of adventure.,train
The <e1>nape</e1> on the <e2>male</e2> has a turquoise blue wash over the light green base feathers.,"Component-Whole (e1, e2)",2,nape,male,The nape on the male has a turquoise blue wash over the light green base feathers.,train
The <e1>design</e1> unveiled yesterday by the <e2>architects</e2> is on a more human scale than the American and Spanish projects.,"Product-Producer (e1, e2)",16,design,architects,The design unveiled yesterday by the architects is on a more human scale than the American and Spanish projects.,train
Gaza following the widespread <e1>destruction</e1> caused by the Israeli <e2>invasion</e2>.,"Cause-Effect (e2, e1)",1,destruction,invasion,Gaza following the widespread destruction caused by the Israeli invasion.,train
"Treasure Island is a gripping pirate <e1>story</e1>, fast-paced by the <e2>standards</e2> of its time and full of action.",Other,18,story,standards,"Treasure Island is a gripping pirate story, fast-paced by the standards of its time and full of action.",train
"As with most American families I started bad eating habits at an early age, I still remember the times I was given a <e1>bottle</e1> with <e2>soda</e2> in it.","Content-Container (e2, e1)",5,bottle,soda,"As with most American families I started bad eating habits at an early age, I still remember the times I was given a bottle with soda in it.",train
The <e1>citizen</e1> observed the robbery through the store <e2>window</e2> and was assaulted by Chaplin as he left the store.,"Instrument-Agency (e2, e1)",11,citizen,window,The citizen observed the robbery through the store window and was assaulted by Chaplin as he left the store.,train
"There was an ancient-looking small shrine there in the ground, and they found an <e1>earth</e1> of <e2>foxes</e2> under its floor.","Member-Collection (e2, e1)",13,earth,foxes,"There was an ancient-looking small shrine there in the ground, and they found an earth of foxes under its floor.",train
"This is a song from the musical I'm making, it's about where a young <e1>lady</e1>, the sacrifice, ran away from the <e2>monks</e2>.","Entity-Origin (e1, e2)",8,lady,monks,"This is a song from the musical I'm making, it's about where a young lady, the sacrifice, ran away from the monks.",train
"While making <e1>observations</e1> of the microfossil through the binocular <e2>microscope</e2> or on a computer monitor, the investigator needed to manually move the specimen.",Other,18,observations,microscope,"While making observations of the microfossil through the binocular microscope or on a computer monitor, the investigator needed to manually move the specimen.",train
A <e1>suitcase</e1> with a <e2>bomb</e2> in it is carried around.,"Content-Container (e2, e1)",5,suitcase,bomb,A suitcase with a bomb in it is carried around.,train
An open file is described in the Linux kernel by a struct file item; the <e1>structure</e1> encloses a <e2>pointer</e2> to the inode representing the file.,"Component-Whole (e2, e1)",3,structure,pointer,An open file is described in the Linux kernel by a struct file item; the structure encloses a pointer to the inode representing the file.,train
"The only <e1>ginger</e1> I had was in a <e2>jar</e2>, so I put a heaping teaspoon in.","Content-Container (e1, e2)",4,ginger,jar,"The only ginger I had was in a jar, so I put a heaping teaspoon in.",train
A <e1>preamble</e1> explains the document's <e2>purpose</e2> and underlying philosophy.,"Message-Topic (e1, e2)",14,preamble,purpose,A preamble explains the document's purpose and underlying philosophy.,train
Nails grow out of deep folds in the <e1>skin</e1> of the <e2>fingers</e2> and toes.,"Component-Whole (e1, e2)",2,skin,fingers,Nails grow out of deep folds in the skin of the fingers and toes.,train
Alfonso used a crowbar to break the <e1>padlock</e1> of the <e2>cage</e2> and took the generator and put it inside his car.,"Component-Whole (e1, e2)",2,padlock,cage,Alfonso used a crowbar to break the padlock of the cage and took the generator and put it inside his car.,train
<e1>Eucharist</e1> is the source of the Church's <e2>mission</e2>.,"Entity-Origin (e2, e1)",9,Eucharist,mission,Eucharist is the source of the Church's mission.,train
"Both <e1>colds</e1> and flu cause <e2>inflammation</e2> of the mucous membranes (found in the nose, throat and mouth).","Cause-Effect (e1, e2)",0,colds,inflammation,"Both colds and flu cause inflammation of the mucous membranes (found in the nose, throat and mouth).",train
Villagers live in constant <e1>terror</e1> of indiscriminate <e2>gunfire</e2> which fills the nights throughout Chechnya.,"Cause-Effect (e2, e1)",1,terror,gunfire,Villagers live in constant terror of indiscriminate gunfire which fills the nights throughout Chechnya.,train
"More people know and understand their <e1>rights</e1> on issues such as <e2>benefits</e2>, housing and employment.",Other,18,rights,benefits,"More people know and understand their rights on issues such as benefits, housing and employment.",train
"On the eve of the Olympics, the Times Online ran a <e1>story</e1> looking at disconcerting <e2>trends</e2> developing in the doping world.","Message-Topic (e1, e2)",14,story,trends,"On the eve of the Olympics, the Times Online ran a story looking at disconcerting trends developing in the doping world.",train
Rudders and <e1>skegs</e1> improve the control over your <e2>kayak</e2>.,"Component-Whole (e1, e2)",2,skegs,kayak,Rudders and skegs improve the control over your kayak.,train
"These <e1>germs</e1> cause several kinds of illnesses, such as <e2>diarrhea</e2>, meningitis or a cold.","Cause-Effect (e1, e2)",0,germs,diarrhea,"These germs cause several kinds of illnesses, such as diarrhea, meningitis or a cold.",train
"He stuffed the <e1>letter</e1> into an empty lemonade <e2>bottle</e2>, corked it, tossed it overboard, and forgot.","Entity-Destination (e1, e2)",6,letter,bottle,"He stuffed the letter into an empty lemonade bottle, corked it, tossed it overboard, and forgot.",train
The influence of hole shape on extraordinary optical transmission was investigated using hole <e1>arrays</e1> consisting of rectangular <e2>holes</e2> with different aspect ratios.,"Member-Collection (e2, e1)",13,arrays,holes,The influence of hole shape on extraordinary optical transmission was investigated using hole arrays consisting of rectangular holes with different aspect ratios.,train
The <e1>student</e1> creates compositional forms using a sequencer or notation <e2>program</e2>.,"Instrument-Agency (e2, e1)",11,student,program,The student creates compositional forms using a sequencer or notation program.,train
Rama Revealed (1993) is a <e1>science fiction</e1> <e2>novel</e2> by Arthur C. Clarke and Gentry Lee.,Other,18,science fiction,novel,Rama Revealed (1993) is a science fiction novel by Arthur C. Clarke and Gentry Lee.,train
<e1>Artists</e1> have created a living <e2>piece</e2> of leather from mouse stem cells.,"Product-Producer (e2, e1)",17,Artists,piece,Artists have created a living piece of leather from mouse stem cells.,train
<e1>Ants</e1> are spreading into new <e2>habitats</e2>.,"Entity-Destination (e1, e2)",6,Ants,habitats,Ants are spreading into new habitats.,train
"Day after day, then, he has put himself into a hornets' nest, or what the Scottish call a <e1>bike</e1> of <e2>bees</e2>.","Member-Collection (e2, e1)",13,bike,bees,"Day after day, then, he has put himself into a hornets' nest, or what the Scottish call a bike of bees.",train
The act of repeated hand washing is the compulsive behavior performed in an attempt to remove the <e1>anxiety</e1> caused by the obsessive <e2>thought</e2>.,"Cause-Effect (e2, e1)",1,anxiety,thought,The act of repeated hand washing is the compulsive behavior performed in an attempt to remove the anxiety caused by the obsessive thought.,train
Even the fan <e1>blades</e1> inside the <e2>engine</e2> are designed to be quieter.,"Component-Whole (e1, e2)",2,blades,engine,Even the fan blades inside the engine are designed to be quieter.,train
"When man sinned, the occasion of his fall was a tree, and the <e1>ground</e1> cursed brought forth <e2>thorns</e2>.","Entity-Origin (e2, e1)",9,ground,thorns,"When man sinned, the occasion of his fall was a tree, and the ground cursed brought forth thorns.",train
I found some <e1>candy</e1> in my <e2>underwear</e2>.,"Content-Container (e1, e2)",4,candy,underwear,I found some candy in my underwear.,train
Two years ago I made <e1>cranberry</e1> <e2>sauce</e2> to die for.,"Entity-Origin (e2, e1)",9,cranberry,sauce,Two years ago I made cranberry sauce to die for.,train
District Judge without a jury and judgment was entered for the defendants on the ground that the <e1>accident</e1> was caused by the plaintiff's own <e2>negligence</e2>.,"Cause-Effect (e2, e1)",1,accident,negligence,District Judge without a jury and judgment was entered for the defendants on the ground that the accident was caused by the plaintiff's own negligence.,train
Peg bags are the medium sized bags that hang in the candy <e1>isle</e1> of the <e2>store</e2>.,"Component-Whole (e1, e2)",2,isle,store,Peg bags are the medium sized bags that hang in the candy isle of the store.,train
The <e1>device</e1> established the <e2>company</e2> as a leading player in the digital decade.,"Product-Producer (e1, e2)",16,device,company,The device established the company as a leading player in the digital decade.,train
"An Israeli woman mistakenly threw out a <e1>mattress</e1> with <e2>money</e2> inside, setting off a frantic search through tons of garbage at a number of landfill sites.","Content-Container (e2, e1)",5,mattress,money,"An Israeli woman mistakenly threw out a mattress with money inside, setting off a frantic search through tons of garbage at a number of landfill sites.",train
Fellows also participate in a program of seminars and <e1>colloquia</e1> focusing on contemporary <e2>issues</e2> and community building in the Asia-Pacific region.,"Message-Topic (e1, e2)",14,colloquia,issues,Fellows also participate in a program of seminars and colloquia focusing on contemporary issues and community building in the Asia-Pacific region.,train
A <e1>router</e1> manipulates a packet's header <e2>information</e2> to influence the packet's direction.,"Instrument-Agency (e2, e1)",11,router,information,A router manipulates a packet's header information to influence the packet's direction.,train
"For cricket, we use a <e1>ball</e1> with <e2>pellets</e2> inside it, which make a noise.","Component-Whole (e2, e1)",3,ball,pellets,"For cricket, we use a ball with pellets inside it, which make a noise.",train
We got a <e1>ball</e1> with <e2>catnip</e2> inside.,"Component-Whole (e2, e1)",3,ball,catnip,We got a ball with catnip inside.,train
"The <e1>factory</e1>'s products have included flower pots, Finnish rooster-whistles, pans, <e2>trays</e2>, tea pots, ash trays and air moisturisers.","Product-Producer (e2, e1)",17,factory,trays,"The factory's products have included flower pots, Finnish rooster-whistles, pans, trays, tea pots, ash trays and air moisturisers.",train
This pirate ship <e1>carving</e1> was made by an actual <e2>pirate</e2>.,"Product-Producer (e1, e2)",16,carving,pirate,This pirate ship carving was made by an actual pirate.,train
A <e1>moat</e1> keeps the <e2>enemy</e2> at bay.,Other,18,moat,enemy,A moat keeps the enemy at bay.,train
The <e1>commander</e1> sawed logs with his <e2>neck</e2> hanging radically from one medieval arm while his feet hung three feet above the hardwood floor on the other side.,"Component-Whole (e2, e1)",3,commander,neck,The commander sawed logs with his neck hanging radically from one medieval arm while his feet hung three feet above the hardwood floor on the other side.,train
"In any forest, the <e1>carbon</e1> is stored in the <e2>plants</e2> and trees.","Component-Whole (e1, e2)",2,carbon,plants,"In any forest, the carbon is stored in the plants and trees.",train
The 180 cm thick concrete <e1>shield</e1> starts at the <e2>radius</e2> of 600 cm.,Other,18,shield,radius,The 180 cm thick concrete shield starts at the radius of 600 cm.,train
The <e1>test results</e1> are entered into the electronic <e2>logbook</e2>.,"Entity-Destination (e1, e2)",6,test results,logbook,The test results are entered into the electronic logbook.,train
The <e1>nun</e1> fulfills his fantasy with a <e2>kiss</e2> that would make a hooker blush.,Other,18,nun,kiss,The nun fulfills his fantasy with a kiss that would make a hooker blush.,train
When he clicked on the <e1>plug</e1> of the <e2>antenna</e2> and it automatically attached to the wires of the bulb socket.,"Component-Whole (e1, e2)",2,plug,antenna,When he clicked on the plug of the antenna and it automatically attached to the wires of the bulb socket.,train
People walk past a <e1>poster</e1> advertising a luxury <e2>fashion brand</e2> on a main street in Shanghai.,"Message-Topic (e1, e2)",14,poster,fashion brand,People walk past a poster advertising a luxury fashion brand on a main street in Shanghai.,train
This was demonstrated for a <e1>servomotor</e1> driven-robot <e2>arm</e2> using a computer simulation.,"Component-Whole (e1, e2)",2,servomotor,arm,This was demonstrated for a servomotor driven-robot arm using a computer simulation.,train
"A decade later, with a growing <e1>congregation</e1> of several hundred <e2>worshippers</e2>, the mosque was ready to expand.","Member-Collection (e2, e1)",13,congregation,worshippers,"A decade later, with a growing congregation of several hundred worshippers, the mosque was ready to expand.",train
The <e1>gaze</e1> of <e2>raccoons</e2> seemingly form an orderly queue to accept snacks from the bus driver as he stops off outside the Legion of Honor museum in San Francisco.,"Member-Collection (e2, e1)",13,gaze,raccoons,The gaze of raccoons seemingly form an orderly queue to accept snacks from the bus driver as he stops off outside the Legion of Honor museum in San Francisco.,train
US forces fared so well that MacArthur gained Truman's permission to attempt a total <e1>rout</e1> of communist <e2>forces</e2>.,Other,18,rout,forces,US forces fared so well that MacArthur gained Truman's permission to attempt a total rout of communist forces.,train
The <e1>surgeon</e1> cuts a small <e2>hole</e2> in the skull and lifts the edge of the brain to expose the nerve.,"Product-Producer (e2, e1)",17,surgeon,hole,The surgeon cuts a small hole in the skull and lifts the edge of the brain to expose the nerve.,train
The Sun displayed a <e1>design</e1> by a macaque <e2>monkey</e2>.,"Product-Producer (e1, e2)",16,design,monkey,The Sun displayed a design by a macaque monkey.,train
"The <e1>general</e1> reached the city by <e2>train</e2> from Worcester at 6, and was received by a delegation from the military of the city, accompanied by the Brigade Band.","Instrument-Agency (e2, e1)",11,general,train,"The general reached the city by train from Worcester at 6, and was received by a delegation from the military of the city, accompanied by the Brigade Band.",train
<e1>Strawberry</e1> <e2>jam</e2> is the perfect way to use a glut of strawberries and is so easy to make with this Strawberry Jam recipe.,"Entity-Origin (e2, e1)",9,Strawberry,jam,Strawberry jam is the perfect way to use a glut of strawberries and is so easy to make with this Strawberry Jam recipe.,train
Three <e1>houses</e1> are handed over to <e2>beneficiaries</e2>.,"Entity-Destination (e1, e2)",6,houses,beneficiaries,Three houses are handed over to beneficiaries.,train
The <e1>movie</e1> gives the inaccurate <e2>impression</e2> that the Apaches all surrendered.,"Cause-Effect (e1, e2)",0,movie,impression,The movie gives the inaccurate impression that the Apaches all surrendered.,train
The <e1>house</e1> was packed from that <e2>moment</e2> to past midnight.,Other,18,house,moment,The house was packed from that moment to past midnight.,train
"It took a long time to undo the <e1>damage</e1> that has been caused by the <e2>crisis</e2> of confidence, damage whose effects are just now beginning to make themselves felt in a slow, glacial collapse.","Cause-Effect (e2, e1)",1,damage,crisis,"It took a long time to undo the damage that has been caused by the crisis of confidence, damage whose effects are just now beginning to make themselves felt in a slow, glacial collapse.",train
"As the <e1>boat</e1> sailed away from the <e2>port</e2>, we had a perfect view of Fira and the zigzag road we just traversed via our donkey rides.","Entity-Origin (e1, e2)",8,boat,port,"As the boat sailed away from the port, we had a perfect view of Fira and the zigzag road we just traversed via our donkey rides.",train
<e1>Teachers</e1> systematically engage students in such higher order cognitive skills as analysis and synthesis of data by using <e2>statistics</e2>.,"Instrument-Agency (e2, e1)",11,Teachers,statistics,Teachers systematically engage students in such higher order cognitive skills as analysis and synthesis of data by using statistics.,train
This pipeline has transported natural <e1>gas</e1> to the urban <e2>area</e2>.,"Entity-Destination (e1, e2)",6,gas,area,This pipeline has transported natural gas to the urban area.,train
Legislators are considering new <e1>limits</e1> on <e2>stem cell research</e2>.,Other,18,limits,stem cell research,Legislators are considering new limits on stem cell research.,train
U.S. Customs and Border Protection officers stopped a drug-smuggling attempt when they seized a <e1>suitcase</e1> full of <e2>marijuana</e2>.,"Content-Container (e2, e1)",5,suitcase,marijuana,U.S. Customs and Border Protection officers stopped a drug-smuggling attempt when they seized a suitcase full of marijuana.,train
"Many commercial soap, shower gel or cleanser products contain <e1>preservatives</e1>, colorants and chemicals that cause dryness, rashes, <e2>itchiness</e2> and roughness on the skin.","Cause-Effect (e1, e2)",0,preservatives,itchiness,"Many commercial soap, shower gel or cleanser products contain preservatives, colorants and chemicals that cause dryness, rashes, itchiness and roughness on the skin.",train
And John was able to talk to some people in the U.S. government and verify that the substantive contents of the <e1>memo</e1> were a reasonably accurate <e2>transcription</e2> of what had transpired.,Other,18,memo,transcription,And John was able to talk to some people in the U.S. government and verify that the substantive contents of the memo were a reasonably accurate transcription of what had transpired.,train
"Too often, <e1>students</e1> were misplaced into alternative <e2>schools</e2>.","Entity-Destination (e1, e2)",6,students,schools,"Too often, students were misplaced into alternative schools.",train
The <e1>study</e1> on which this <e2>paper</e2> is based was prompted by concerns about marking standards.,Other,18,study,paper,The study on which this paper is based was prompted by concerns about marking standards.,train
The <e1>hull</e1> caused a <e2>scratch</e2> on the eye and that is why it's not healing all the way.,"Cause-Effect (e1, e2)",0,hull,scratch,The hull caused a scratch on the eye and that is why it's not healing all the way.,train
"P6 stimulation for PONV is a convincing case for the efficacy of acupuncture; to that were later added <e1>nausea</e1> from <e2>chemotherapy</e2> or pregnancy, and dental pain.","Cause-Effect (e2, e1)",1,nausea,chemotherapy,"P6 stimulation for PONV is a convincing case for the efficacy of acupuncture; to that were later added nausea from chemotherapy or pregnancy, and dental pain.",train
The two men moved the <e1>furniture</e1> into the <e2>room</e2>.,"Entity-Destination (e1, e2)",6,furniture,room,The two men moved the furniture into the room.,train
The <e1>government</e1> was criticised in a radio <e2>debate</e2>.,"Message-Topic (e2, e1)",15,government,debate,The government was criticised in a radio debate.,train
